,model 1,model 2,model 3,acc,mcc,tp,tn,fp,fn,auroc,auprc
892,no-easy,baseline,mispredictions-interleaved,0.9053,0.8105429253898508,4648,4405,501,446,0.9685438621426355,0.9695955381110215
1082,baseline,mispredictions-interleaved,curriculum-strict-shuffled,0.9053,0.8105259948443704,4628,4425,481,466,0.9684369643606836,0.9695677760781968
1085,baseline,mispredictions-interleaved,curriculum-reordered-shuffled,0.9053,0.8106216009330681,4670,4383,523,424,0.9682338525728533,0.9693666373247172
863,smiley-reconstruction,hardest-appended,curriculum-reordered,0.9053,0.8105310428307726,4622,4431,475,472,0.9681462216005625,0.9694285275303689
665,corrects-interleaved,no-easy,curriculum-strict,0.9053,0.8105271583749224,4626,4427,479,468,0.9678045408369134,0.968639532273497
661,corrects-interleaved,smiley-reconstruction,curriculum-reordered-shuffled,0.9053,0.8105271848497421,4637,4416,490,457,0.9675740593755457,0.9687639088798571
397,easiest-interleaved,smiley-reconstruction,easiest-appended,0.9053,0.8105323383677043,4621,4432,474,473,0.9679343667225745,0.9690016477939576
375,easiest-interleaved,tags-replacement,only-corrects,0.9053,0.8105288776253191,4639,4414,492,455,0.9682464170136293,0.9693695324565454
541,tags-replacement,smiley-reconstruction,curriculum-reordered-shuffled,0.9053,0.8105981899828227,4665,4388,518,429,0.9679975490537376,0.9691470465009262
631,tags-replacement,curriculum-strict-shuffled,curriculum-reordered-shuffled,0.9053,0.8105818043989107,4661,4392,514,433,0.9682089637761572,0.9693086026277914
529,tags-replacement,corrects-interleaved,smaller-batches-smaller-learning-rate,0.9053,0.8105279348236348,4625,4428,478,469,0.9677724895086919,0.9688388111235519
658,corrects-interleaved,smiley-reconstruction,curriculum-strict-shuffled,0.9053,0.8105498367371275,4612,4441,465,482,0.9676382220532025,0.96880293513249
466,easiest-interleaved,drop-duplicates,only-corrects,0.9053,0.810532390936024,4642,4411,495,452,0.9678199862959564,0.9689333612200852
627,tags-replacement,mispredictions-interleaved,curriculum-reordered,0.9053,0.8105353826788231,4644,4409,497,450,0.9684589321249703,0.9695691756603512
709,corrects-interleaved,easiest-appended,hardest-appended,0.9053,0.8106023491803728,4597,4456,450,497,0.9679971088981689,0.9691374933680803
182,vinai-preprocessing,corrects-appended,curriculum-reordered,0.9053,0.8106315246688265,4591,4462,444,503,0.9680855201462404,0.9690993731572672
668,corrects-interleaved,no-easy,drop-duplicates,0.9053,0.8105259948443704,4628,4425,481,466,0.9680144150148429,0.9690126580030958
611,tags-replacement,larger-batches-larger-learning-rate,only-corrects,0.9053,0.810525619664646,4634,4419,487,460,0.9678156247544132,0.9687365393317587
599,tags-replacement,drop-duplicates,hardest-appended,0.9053,0.8105310899344342,4641,4412,494,453,0.9686527006105038,0.9698555451369373
52,vinai-preprocessing,tags-replacement,curriculum-reordered,0.9053,0.8105743923730161,4659,4394,512,435,0.9681344374355673,0.9691702496514834
335,hardest-interleaved,mispredictions-interleaved,corrects-appended,0.9053,0.8107248892550232,4576,4477,429,518,0.9685416413577215,0.969683044879405
666,corrects-interleaved,no-easy,baseline,0.9053,0.8105259948443704,4628,4425,481,466,0.9680144150148429,0.9690126580030958
676,corrects-interleaved,no-easy,only-corrects,0.9053,0.8105259948443704,4628,4425,481,466,0.9676178348475485,0.9684465674269327
445,easiest-interleaved,baseline,only-corrects,0.9053,0.810532390936024,4642,4411,495,452,0.9678199862959564,0.9689333612200852
504,easiest-interleaved,corrects-appended,curriculum-reordered-shuffled,0.9053,0.8105895121876493,4600,4453,453,494,0.9678172653342598,0.9689413077273914
